,komentar
296,"Selera fashion lu ga banget. Mending hire fashion stylish deh, percuma barang branded tapi norak"
297,Bisa mewah gitu tapi karyawan nya diluar negeri cuma dikasih mie instan 
298,Ga cocok asli keramaian. Coba celana nya pake warna hitam atau rok hitam terus gaush pakai belt dan tas nya keramaian jadi kek gimana gitu norak banget alay
299,Ngeselin banget ngeliat ni orang ketok2 barang sok2an asmr jijik saya dengernya
300,ASMR tu harus banget ya ketuk ketuk package apapun pake kuku2 itu? buat saya si ganggu banget
301,Apasi celana nya norak banget anjing
302,Kaya artis dangdut
303,katanya ga boleh main sama cowo gimana sih jilat ludah sendiri
304,"Tasyi rada pansos ya keknya, sama Shani apalagi, makanya suka ngasihin barang branded demi membeli pertemanan yang tidak tulus ini, dia tau Shani lagi ramai ramainya"
305,Emang boleh bib pake celana seketat itu? Katanya habib tapi seperti tidak mengerti syariat islam yang benar
306,Ga boleh main sama cowo asli mungkin maksudnya wkwk kalau sama cowo seperti bencong banci boleh main
307,Katanya gak boleh satu ruangan yang bukan makhram ? Kok ada laki laki disitu sih bohong ya
308,Kak apa ga kasihan itu heelsnya kekecilan gamuat gitu dikaki tapi msh dipaksa? Sadar kak kaki kamu besar gendut
309,ngapain ibadah di umbar2? laki nya kan si paling suci si paling beragama kok ga diceramahin sih si tasyi? 
310,riya riya
311,ngakak banget sholat aje dibikin konten. Sholat gak niat cuman buat cari uang
312,Harus banget ngontenin sholat? Alay banget biar dibilang alim?
313,mohon maaf tapi pink2 di bajunya itu mirip sama kembang yang biasa dipake buat nyekar ke makam
314,Fashion sama cara makeupnya norak banget
315,"jujur ya, saya sih melihatnya seperti 2 orang condet biasa aja gitu"
316,suami cosplay jd nabi palsu
317,Tombol kebiri fred suami ragil
318,"mereka latar belakangnya pelawak tapi versi lain, balik lagi ke jalan yang benar, lah lu latar belakangnya homo gitu gay wkwk"
319,Alah lu aja ngehina agama lgbt kok islam
320,Tapi kalau support lgbt jelas nggak banget..  MAHA GURU PERKONTOLAN 
321,Tombol anus kembang kempis mana sih buat lgbt
322,Tombol goblok anjay
323,Sama sama unfoll yuk
324,Ujung tombol anus sudah kena tai karna lgbt
325,Buatin lagu buat ragil terus ngentot sama ragil ya bro @audijens_yen 
326,Kami tidak membenci orangnya cuman sifat anda yang kami anti karna lgbt jadi yuk kita report ragil
327,Gil pernah nggak pas berhubungan keluar atau kena tai?
328,Semoga cepat di azab tuhan 
329,Kontol najis goblok
330,hanya ambeien dan mencret cabe yang bisa memisahkan mereka
331,YANG SETUJU LUCINTA LUNA DI ASINGKAN SAJA KE PULAU TERPENCIL KARENA PERILAKU PENYIMPANGAN
332,Jangan bawa2 nama allah yang suci dalam hal yang jelas2 haram anjing ini penyimpangan
333,Tombol settingan dan gimmick nya kak
334,"lun please deh, lo boleh sesuka lo ngapain kek tapi gausah bawa' dan mengatasnamakan Tuhan. lo sendiri aja ngelanggar aturan Tuhan, jd pls otak di pake lo boleh ngapain aja tapi jangan bawa' dan mengatasnamakan Tuhan."
335,"Curiga cuma settingan ini, cowoknya sepertinya cuma disewa atau kontrak"
336,"Baiknya lu pindah ke german ajah cin ,karna saya takut kena imbas azab dari perbuatan lu"
337,"Naudzubillah, Lu tau ga sih ini salah?? CAPTION HARAP DIGANTI karena ada kata yang sangat sakral dan ga pantes kata tersebut di letakan difoto ini sangat sangat tidak pantas!!! sama aja anda mempermainkan agama"
338,"Ngomong alhamdulilah atas anugrahmu, lu sendiri aja operasi kelamin, anugrah palak bapak kau goblok"
339,"Muhammad Fatah mending luh pindah negara barat aja, masyarakat  Indonesia takut kena azab Allah"
340,"Dia bilang dia cuma pengen bahagia, tapi kebahagiaan lu ngerusak generasi.. ya masa kita disuruh diam ajamending kita hujat dan report"
341,Sebaiknya pindah Negara hidup bersama calon lakimu. Karena kalian tidak pantas tinggal disini
342,"lu kira dengan begitu lu benar lun? kalau lu benar islam lu harus nya tau merubah ciptaan sama dengan menyekutukan tuhan, uda syirik lo woi, sadar sih oi netizen tu cuma ingatin lu kembali ke jalan yang benar ga ngejudge yang g baik baik toh lu uda ngaku di podcast dulu lu transgender, lah sekarang uda ngaku jd wanita yang mana yang benar, kasih kami bukti lu emang dari lahir lu cewe, netizen tuh gabakal puas sebelum lu kasih, lu tau sendiri lu influencer, lu selebrity, lu famous, otomatis kata lu udah a sampai z tuh kata netizen, kalau lu gamau ngambil resiko lu bakal dihujat, yauda tinggal klarifikasi babe, setiap masalah ada jalan keluar nya, gausa lu sedih sedih kelamaan mending lu tuntasin, ku kelarin udah, atau tinggal konferensi pers, tunjukkan bukti atau apa kek biar netizen tuh ga ngehujat lu lagi, ya kalau lu ga bertindak, cuma ngomong"" doang di sosmed ttg dosa dan ttg siapa yang benar, gabakal siap ni masalah, lu tau sendiri selagi masi ada celah netizen gabakal tutup mulut"
343,KOK MALAH BILANG NETIZEN SUCI KAH? lo sadar ga? lo MELENCENG DARI AJARAN AGAMA ISLAM!!!! ALLAH MENCIPTAKAN ADAM DAN HAWA BUKAN ADAM DAN MAS FATAH!!!!
344,"ngapain si netizen di tanggapin, org lu yang ngepublikin hubungan, kalau gamau di hujat stop upload karna konten lu pantas buat dihujat ‚"
345,"Kita sebagai perempuan, ga sama dengan kamu om. kamu sebagai lelaki yang menyerupai perempuan "
346,Tetap aura mas mas nya terpancar‚ padahal udah transgender wkwk
347,"Kok bangga nguplod yang di benci allah,, seharusnya malu,,, bodoh banget"
348,"Palsu banget, dibuat2, nggak kayak milen sama lionel natural aja"
349,"Itu Laki Seleranya lain dari pada yang lain,  lihat ini selera makanku jd hilang. ‚"
350,"dirimu adalah ciptaan dokter, ciptaan Tuhan sdh kau buang, tidak tau bersyukur"
351,Cantik nya buatan dokter wkwk
352,Pas lari lari dipantai celananya kayak ada eek nya mau jatoh
353,Coba liatin dr belakang dah.... Itu serius bijinya tetap di potong?
354,Suara bidadari menyeramkan
355,"Pancingan ndasmu, ngelawak bole tapi yang masuk akal dikit ini logikanya sampai keluar angkasa wkwk"
356,"Gara2 Elu mempublikasikan Pernikahan2 lgbt lu di semua sosmed,,, akhir kata semua Kaum Pelangi kena Hujatan dan sorotan Publik,, udah deh,, kita di indonesia,, gak semua org bisa menerima kaum macam kita,, yang wajar dan normal aja mbak "
357,"Kok bulenya mau disuruh apapun ya, kaya boneka Mengikuti semua keinginan dan imajinasi nya Mungkin demi cuan"
358,"Hanya ambeien yang bisa memisahkan mereka berdua,"
359,Bukan bidadari surga tapi neraka“‚
360,"Berapa sakitnya perasaan orang tua mereka , melihat anak nya seperti ini ,,,"
361,"Cowonya dikasih bayaran pasti buat nurutin kemauan si lucinta smua, dari bikin reels, kawin. Gimmick aja smua biar hidupnya ga membosankan, "
362,Oplas yang sebelum ini hasil nya lebih bagus kak lun yang oplas terakhir bikin aneh kelihatan laki nya‚
363,Lucinta Luna kok kaya nenek
364,Hanya penyakit ambien yang bisa memisahkan kalian berdua
365,Palingan kalau cowoknya udah bosan ditinggalin
366,Keliatan bekas sayatan di bawah payudaranya. abis dimasukin sumpelan ager2‚
367,Hay Babi
368,"Orangnya palsu, rambut palsu, acaranya cinta palsu, semua palsu ‚"
369,"Dari kemarin salfok sama rambut, Rambutnya tuh kayak gak nempel apa gimana si jangan jangan rambut palsu ya wkwk"
370,knp si dunia ini aneh2 aja udah gak paham lah apalagi indonesian ini kok bisa yang gitu pun di tonton bahkan viral rasa nak pindah ke aceh aja
371,TOMBOL LGBT KONTOL -----------------------
372,dah kelewatan ni.... dulu wakti oplas aku gak pernah komentar... karna dosa urusan mu... tapi ini sudah menunjukan postingan tidak pantas ditunjukkan dipublik... gila
373,"kok bisa dia nikah di indonesia ,orang2 kaya lucinta luna ini secara ga sadar kaya dia tuh MEMPROMOSIKAN BAHWA LGBT itu di perbolehkan dia gampang banget gonta ganti pacar bulenya pasti ada yang mendanai dia untuk promosi hal2 berbau LGBTQ"
374,"Luna.. luna. Mau sampai kapan lo begini? Kpn lo bahagianya kalau hidup di bawah aturan dan tekanan mereka terus.., goblok banget"
375,"Tenang tenang, ini cuma semacam job kontrak wkwk. Keliatan banget. Masih kasar gimmicknya ah ‚"
376,"Kok wajahnya jd terlihat laki2 lg ya, dulu ada aura cewek nya dikit2"
377,Om luna nggak takut dosa nikah sama cowok. om luna kan cowok juga..”
378,"Jujur, aku geli liatnya. "
379,Tombol jijik
380,Tombol muntah
381,Kenapa guw ngeliat cowonya ngga ada gagah gagahnya ya apa mungkin cowonya transgender juga cewe jadi cowo
382,"heran saya, tiap video durasi akhirnya pasti ciuman geli banget jijik"
383,Disensor Napa cipokan kek gitu ntar dilihat banyak anak2. Bisa rusak nanti...
384,Jangan bawa2 nama Allah dalam kesesatan kalian dong..
385,Kominfo. konten LGBT gini kok di diami sih. apa kominfo komunitas pelagi juga...?? Ini tontonan yang gak layak di konsumsi publik. apalagi anak2 skarenag smua sdh ngerti main hp. dan punya IG di hp merka. kok sepertinya kominfo cuek2 aja sm tayangan seperti ini. buta atau gimana.
386,"Semoga aja Allah SWT membalas segera atas perbuatanmu yang zholim ini. Kamu dengan sengaja mempertontonkan pelanggaran atas apa yang Allah larang benci. Azab yang pedih kamu akan dapatkan baik di dunia maupun di akhirat,"
387,"gabisa bedain gimick sama real, kemarin kebanyakan gimick"
388,jangan bawa agama ya ka.. karna ini salah satu yang bikin bencana alam
389,Melanggar hukum allah ga takut Indonesia nya kena malapetaka mbak?
390,"Sekedar mengingatkan,""JANGAN gunakan bismillah dan atas izin Allah"" atas kemungkaran yang kk lakukan sebelum Allah turunkan azab untukmu"
391,CANTIK BINGIT KAYA FIR'AUN
392,"gak usa pakai wig panjang banget kek gitu kak, nampak tua kulihat"
393,"wkwk lu jadi komedian aja lun pantes gila , "
394,"Luna ga boleh kasar kasar , lagi hamil bayi palsu keguguran"
395,Kok ka lucinta makin kusut aja si... sekarang kayak aneh
396,Kasihan cowok nya  ya ampun versi berbatang
397,Hancur
398,"Inara ribet Sma tok nya, belahanya sampai ke atas tuh rok... Ngawur ah fashion nya"
399,"Acara tv gini semua, menayangkan siaran tolol tidak layak ditonton"
400,Bisa gak sih acara kaya gini tuh di blacklist ajah?? Karena ini tuh kaya mempromosikan / menormalisasikan kaum lgbt.
401,Acara TV yang tidak layak di tonton
402,"Kenapa pelaku LGBT masuk tv sih, berarti termasuk mendukung dong lgbt, astaghfirullah"
403,"Semenjak acara TV kaya begini semua, jadi malas tengok tv"
404,"Akhir jaman, wanita seperti cowok dan cowok jadi wanita"
405,Bule nya seperti terpaksa Sama ka luna
406,Maaf ya kak lucinta  tapi Apa hanya aku yang berpikir si bule ini cuman mau cuannya aja jadi kayak menumpang saja. 
407,Apakah si bule sudah tau kalau om luna perempuan setengah matang?
408,"Sudah bebas kah di negri ini, hingga kemaksiatan di tebar tanpa rasa malu.."
409,Ditunggu konten makan nya di penjara mbak lina @linamukherjee_
410,"mampus , maka nyaa jangan sok jagoan lo"
411,Selamat makan babi dalam penjara
412,Makan babi lg di penjara kau
413,"Makan babi banyak banyak di LP Lina, biar tambah besar itu kau"
414,Itulah pentingnya waktu kecil dikasih (ASI). biar besarnya tidak mnjadi (ASU)
415,Aneh lho Lina ini kan artis sering di sorot kamera tapi kenapa kok tidak merawat bodynya sih biar enak di pandang‚‚
416,Akibat sepi job dan mau viral dan terkenal sampai segitunya wkwk. sama satu spesies cocok emang
417,Boleh gak Sih saya ngatain lu anjing atau babi gitu...?
418,kalau KAU mau berbuat salah jangan KAU jadi kan Konten. Berarti KAU itu menghina agama Islam. kalau udah menyakut agama sedunia akan menghujat KAU ... PAHAM KAU Celengan SEMAR
419,yang kasus babi makan babi dah kelar?
420,"Dia itu pengin nya kyak artis bolywood, TaPI sayang bajunya GK sesuai.. jadi terpaksa pakai BH yang harga 35 rb‚iya kl yang pakai bodynya langsing lah itu udah kyak tong glungdung"
421,Hehehe.. pake baju atuh mbak.. org india asli walau baju nampak perut tapi tetap baju mba. Bukan BH doang
422,Ni orang suka banget umbar tubuh biar di lihat banyak orang dia ga malu ya tubuh nya di pamerin
423,pengen muntah sumpah… .mbuk sadar awak sadar badan lu jelek
424,"Kan bH nya ga gitu mbak ,pakenya model miniset, "
425,Kutangnya beda warna tolong... Keliatan kutang banget goblok
426,"Dulu pernah ngikutin setiap hari selalu stalking yang isinya, hampir rata netizen dari dulu udah sering ngingetin, ngebilangin kalau ini itu ga baik. Tapi dia ini selalu gak Terima, sperti orang Takabur tidak takut Tuhan. Eh akhirnya dengan sekejap mata Allah langsung membolak-balikan nya.. Terima dah tuh mampus di penjara"
427,Selamat datang di hotel penjara.. Semoga jadi pelajaran ya agar tidak main dengan agama..
428,"Selamat atas gelar baru'nya ""NARAPIDANA"" Serta selamat juga atas Baju Dan Kamar Baru'nya ya "
429,Merendahkan harga diri sendiri wkwk
430,Definisi menjatuhkan harga diri sendiri. Ntar kalau direndahin orang jangan marah yah karena itu dimulai dari kamu sendiri goblok sih
431,gak bermutu dong kontennya tidak layak ditonton tidak berbobot
432,"tapi jeffry masang tarif ke elu, rugi banget lah ga masang tarif dasar murahan"
433,Benci tuhan? Lu gak di penjara aja tuhan udah menolongmu dari ketakutanmu… masih benci tuhan dan meremehkan tuhan?
434,LINA IS QUEEN OF gsruk memek FROM INDONESIA RAYA
435,apa kabar kasus makan babi kemarin‚ yang tiba2 maag akut
436,Mukanya kaya labi labi wkwk
437,lina garuk memek jaya jaya jayaa
438,kelihatan banget murahan buat Cemilan pejabat paling
439,garuk memek aja bangga anjir
440,Duta garuk memek
441,mbak mbak jadi keset laki2 kok malah bangga
442,"duh, prestasinya apa? kok bisa viral begini hal hal bodoh"
443,"Mantan lebih dari 30 bangga anjir, cewe yang ke gitu tandanya murah... kita jadi cewe mahal dikit lah"
444,murahan banget...
445,garuk memek aja bangga loh tolol banget
446,Dia keputihan kah itu memek nya?
447,Tau adab gak mbak kaya orang idiot
448,Cantik dari kepala sampai dagu .kalau dari leher ke kaki gak dulu deh banyak daki wkwk
449,Deterjen cerdas pilih foto nya pas lagi garuk memek
450,Kudis nya di obatin biar gak garuk2. dan beli baju2 yang sopan biar indah liat nya. gigi kalau senyum aja baru lihat.
451,Sekalian sedot lemak perutnya dong kak soalnya gendut banget gak enak dilihat
452,Mana ada member blackpink yang garuk memek di depan umum
453,"Oh ini yang punya ajaran sesat itu nyuruh"" test darive sebelum nikah wah parah sih gak punya otak"
454,Aneh sih dia doang yang bangga akan aib Be smart ajalah unfollow ga berfaedah oh ya yang memuja dia ... Nilai sendiri aja .. inget Jangan gila pujian jangan gila dikit dikit nanti benaran gila loh
455,Makan babi pakai bismillah emang tolol kebangetan
456,idiot banget Makan babi baca bismillah makan nasi gk bismillah
457,"Hayo yang pengikutnya ikutlah bersama nya… sampai akhir akherat ya… Org yang mengHaLaL kan segala Cara, Berzina aja dianggap Sah sama dia dengan Makna test darive nya?? makan babi aja bagi dia sah... terserah Loh deh Lina"
458,"Gelambir bngt toket lu , saya ga napsu liatnya takut kadaluarsa"
459,Ni orng kenapa gak jadi di penjara padahal pantas buat di penjara
460,"Dia suka ngonten makan,  tapi mukanya kako makan gak bikin orang nafsu makan. Jijik"
461,Mulut nya kondisikan kok makan seperti binatang
462,"Lina kok sekarang Ndak terurus ya,,, jelek banget"
463,"benarnya tuh makanan enak gak sh? Di bilang enak, raut mukanya menjijikan gtu."
464,Hahaha.. Lebay Lebay.. kasus penistaan agama dia gimana ya .kok gak di penjara
465,Nah gt baju nya jijik kalau dilihat org lain...
466, semoga ga terbukti pasien ODGJ biar bisa diproses sampai jadi warga binaan lapas
467,Akhirnya jd tersangka selamat menikmati penjara
468,"benar emang aneh, ngaku muslim tapi makan babi dengan sengaja"
469,Gunakan aku sebagai tombol tidak suka dan benci
470,itu lah kepedean orang  yang memuji diri sendiri
471,LU OMNIVORA YA PEMAKAN SEGALANYA WKWK SADAR GOBLOK
472,"Pede. cuma Masa lelucon sampai agama di buat lucu lucuan, itu jauh lebih dari ANEH kali mbak...¬"
473,"Suka pamer ,Ria , tolol lagi"
474,Muka lo aja belang sama leher ‚
475,Ga jelas lu
476,Hutang endorse ku tidak bayar ya sampai detik ini kamu ada hutang semoga kena azab
477,Anjir itu nama nama rekening bandar judi slot ‚‚
478,kenapa kakak? dibulan suci ramadhan berpakaian gt. muslimkah kakak? kemana toleransi beribadahnya. Apa jangan jangan muslim palsu?
479,belahan toket dia bikin muntah
480,"makin hari bulan puasa lg ,kelakuan mbak Lina makin tak terkontrol"
481,Ekspresi nya kak kok kaya lagi banyak masalah
482,itu kaki nya perlu perawatan juga mba banyak daki nya
483,Dekil luar biasa kaya habis mandi lumpur‚
484,Ekspresi wajah mu itu loh..‚‚‚‚‚‚‚ kayak di tagih utang sama rentenir .  jangan tegang dong kk lina
485,Orang ini kayanya malas banget nyisir rambut
486,"Minta perawatan muka, si dokter malah ngerawat kaki ‚ aneh"
487,Mulai kena mental... Mulai pakai efek karena banyak yang komentar2 negatif masalah kulit...‚‚‚·
488,"Perasaan kalau liat orang india pake kain sari , dalemannya bukan kutang deh kok ini seperti telanjang"
489,Seperti nya yang endorse punya gangguan penglihatan
490,Entah dimana letak sehatnya gatau kami inimah tolol
491,Rambut apa sarang tawon ?
492,dalaman kain sari bukan kutang mbak pintar dikit kenapa sih
493,Kenapa harus endorse dia sih biar viral?? Harusnya sesuaikan skincare pruduk anda dengan kulit2 yang cantik putih jngn pilih yang item dekil cuma pingen cepat viral ‚ malah cuma pke BH doang malu2in aja
494,"Kok ngga malu ya modelan kaya gitu, saya baju ngetat dikit aja ngga PD sama dada"
495,Ya Allah scroll layar langsung shock ngeliat nya ‚otw blokir
496," pengen banget ngundang netizen buat hujat .  Penampilan di benarin dikit kek , seenggaknya sewajarnya yang pantas di enak dilihat oleh diri sendiri atau org banyak . "
